QUESTION,ANSWER
차량의 외부에서 전방 레이더의 위치는 어디에 있나요?,차량의 외부에서 전방 레이더의 위치는 앞쪽에 있습니다.
차량 내부에서 전자식 파킹 브레이크(EPB) 스위치의 위치는 어디에 있나요?,차량 내부에서 전자식 파킹 브레이크(EPB) 스위치의 위치는 운전석 주변에 있습니다.
차량 내부에서 스마트폰 인증 패드/무선 충전 패드의 위치는 어디에 있나요?,차량 내부에서 스마트폰 인증 패드/무선 충전 패드의 위치는 중앙 콘솔 근처에 있습니다.
차량의 엔진룸에서 엔진 오일을 점검할 때 필요한 두 가지 부품은 무엇인가요?,차량의 엔진룸에서 엔진 오일을 점검할 때 필요한 두 가지 부품은 엔진 오일 주입구와 엔진 오일 레벨 게이지입니다.
차량의 타이어 공기압을 조정할 때 해발 고도가 높은 지역에서 주의해야 할 점은 무엇인가요?,"차량의 타이어 공기압을 조정할 때 해발 고도가 높은 지역에서는 대기의 압력이 낮아지므로 추천 공기압보다 더 보충해야 하며, 해발 고도별 보충 공기압은 +1.5psi/km입니다."
차량의 타이어 에너지 소비 효율 등급에서 회전 저항(RRC)과 젖은 노면 제동력(G)의 등급이 높을수록 각각 어떤 의미를 가지나요?,"차량의 타이어 에너지 소비 효율 등급에서 회전 저항(RRC)의 등급이 높을수록 소비 효율이 높아지고, 젖은 노면 제동력(G)의 등급이 높을수록 젖은 노면에서의 제동력이 좋습니다."
에어컨 시스템에서 지정된 냉매를 사용하지 않을 경우 어떤 문제가 발생할 수 있나요?,에어컨 시스템에서 지정된 냉매를 사용하지 않을 경우 냉방 성능 저하 및 심각한 부품 손상이 발생할 수 있습니다.
Smartstream L3.5 엔진에 추천되는 엔진 오일의 사양은 무엇인가요?,"Smartstream L3.5 엔진에 추천되는 엔진 오일의 사양은 ACEA C3급 또는 C2급, SAE 0W-30입니다."
운전 전 1일 1회 점검해야 할 사항은 무엇인가요?,"운전 전 1일 1회 점검해야 할 사항은 차량 하부에서 기름 및 액체가 새는지, 엔진룸을 열고 냉각수, 각종 오일 및 벨트류의 이상 유무를 확인하고, 차량 외관의 이상 유무를 확인하는 것입니다."
브레이크 오일 리저버 탱크 내의 브레이크 오일양이 부족하거나 급격히 감소되었을 때 어떻게 해야 하나요?,브레이크 오일 리저버 탱크 내의 브레이크 오일양이 부족하거나 급격히 감소되었다면 당사 직영 하이테크센터나 블루핸즈에서 점검을 받아야 합니다.
에어백의 최대 효과를 얻기 위해서는 무엇을 해야 하나요?,"에어백의 최대 효과를 얻기 위해서는 안전벨트를 착용해야 합니다. 그렇지 않으면 실명, 상해, 사망 등의 위험을 당할 수 있습니다."
주행 중 엔진을 끄면 어떤 위험이 발생할 수 있나요?,주행 중 엔진을 끄면 브레이크의 성능이 저하되거나 스티어링 휠이 조작되지 않아 매우 위험합니다.
교차로나 건널목의 한 가운데서 시동이 꺼졌을 때 어떻게 대처해야 하나요?,교차로나 건널목의 한 가운데서 시동이 꺼졌을 때는 주위의 가까운 사람들에게 도움을 받아 차를 안전한 장소까지 이동시켜야 합니다.
차량의 플라스틱 외장 부품을 손상시키지 않기 위해 주차 시 주의해야 할 점은 무엇인가요?,"차량의 플라스틱 외장 부품을 손상시키지 않기 위해서는 스테인리스 간판, 전면 유리 건물 등 외부 구조물에서 반사되는 태양 반사광이 발생할 수 있는 지역을 피해 주차하거나 주차 커버를 사용해야 합니다."
LPG 차량을 장기간(1개월 이상) 주차할 때 주의해야 할 사항은 무엇인가요?,"LPG 차량을 장기간(1개월 이상) 주차할 경우에는 지하 주차장 등과 같은 밀폐된 장소를 피하고, 연료 수동 차단 밸브를 잠가야 합니다."
중앙 좌석을 접는 방법은 무엇인가요?,중앙 좌석을 접는 방법은 3-11 페이지에 설명되어 있습니다.
3인승 밴 차량의 좌석 구성은 어떻게 되어 있나요?,3인승 밴 차량은 1열에 중앙 좌석을 포함하여 총 3좌석으로 구성되어 있습니다.
주행 중에 좌석을 조절하면 어떤 위험이 발생할 수 있나요?,"주행 중에 좌석을 조절하면 운전에 방해가 되고, 사고로 인하여 심하게 다치거나 사망할 수 있습니다."
수동식 좌석의 등받이 각도를 조절하는 방법은 무엇인가요?,"수동식 좌석의 등받이 각도를 조절하는 방법은 먼저 좌석에 앉은 상태에서 등을 앞으로 약간 숙이고, 좌석 바깥쪽에 위치한 좌석 각도 조절 레버를 위로 당긴 후, 원하는 위치로 조절하고, 조절 레버를 놓아 고정시키는 것입니다."
헤드레스트를 분리하는 단계는 무엇인가요?,"헤드레스트를 분리하는 단계는 먼저 등받이 각도 조절 스위치 또는 레버를 사용해 좌석 등받이를 뒤로 젖히고, 헤드레스트를 끝까지 올린 후 잠금 해제 버튼을 누른 상태에서 헤드레스트를 위로 올려 분리하는 것입니다."
프리미엄 릴렉션 시트를 작동할 때 주의해야 할 점은 무엇인가요?,"프리미엄 릴렉션 시트를 작동할 때는 3열 좌석에 탑승자 또는 기타 적재물이 있을 경우 작동하지 말아야 하며, 좌석이 작동 중일 때 신체나 물건이 끼이지 않도록 주의해야 합니다."
레그서포트(종아리 지지대)의 각도와 길이를 조절하는 방법은 무엇인가요?,"레그서포트의 각도는 조절 스위치를 위 또는 아래로 움직여 조절하고, 길이는 조절 스위치를 앞 또는 뒤로 움직여 조절합니다."
2열 좌석의 전후 위치를 조절하는 방법은 무엇인가요?,"2열 좌석의 전후 위치를 조절하려면 좌석 앞쪽에 있는 레버를 위로 당기고, 좌석을 전후 원하는 위치로 조절한 후, 조절 레버를 놓아 고정합니다. 조절 후에는 좌석을 앞뒤로 가볍게 흔들어 확실하게 고정되었는지 확인합니다."
2열 좌석의 등받이 각도를 조절하는 방법은 무엇인가요?,"2열 좌석의 등받이 각도를 조절하는 방법은 좌석에 앉은 상태에서 등을 앞으로 약간 숙이고, 좌석 바깥쪽에 위치한 좌석 각도 조절 레버를 당긴 후, 좌석에 기대어 원하는 위치로 조절하고, 조절 레버를 놓으면 고정됩니다. 조절이 끝나면 조절 레버의 위치가 처음의 상태로 되돌아와 확실하게 등받이가 고정되었는지 확인해야 합니다."
좌석을 접거나 펼 때 앞좌석과 간섭이 생기지 않도록 하기 위해 어떻게 해야 하나요?,좌석을 접거나 펼 때 앞좌석과 간섭이 생기지 않도록 하기 위해 앞좌석을 충분히 앞으로 당겨서 조절해야 합니다.
A 타입 좌석의 암레스트를 사용할 때 어떻게 해야 하나요?,A 타입 좌석 옆의 암레스트를 내려서 사용하십시오.
열선 시트를 사용할 때 주의해야 할 사람들은 누구인가요?,"열선 시트를 사용할 때 주의해야 할 사람들은 유아, 어린이, 노인, 신체 부자유자 또는 기타 질병이 있는 분, 피부가 약한 분, 과로한 분, 과음한 분, 졸음이 올 수 있는 약(수면제, 감기약)을 복용한 분입니다."
통풍 시트를 사용할 때 에어컨과 함께 사용하는 것이 권장되는 이유는 무엇인가요?,통풍 시트를 사용할 때 에어컨과 함께 사용하는 것이 권장되는 이유는 에어컨을 끈 상태에서 장시간 사용하면 성능이 저하될 수 있기 때문입니다.
안전벨트를 착용할 때 주의해야 할 사항은 무엇인가요?,"안전벨트를 착용할 때 주의해야 할 사항은 어깨띠가 목이나 얼굴을 지나지 않도록 하고, 벨트 하나를 두 사람 이상이 착용하지 않으며, 골반띠는 가능한 낮게 골반 부분까지 내려오게 착용하는 것입니다."
뒷좌석 안전벨트를 착용한 후 주행 중 안전벨트를 풀었을 때 차량 속도가 20 km/h 이상일 경우 어떤 경고가 발생하나요?,뒷좌석 안전벨트를 착용한 후 주행 중 안전벨트를 풀었을 때 차량 속도가 20 km/h 이상일 경우 약 35초 동안 경고음이 울리고 경고등이 깜빡입니다.
"에어백 경고등이 시동 'ON' 했을 때 3~6초 이후에도 계속 켜져 있는 경우, 어떤 조치를 취해야 하나요?","에어백 경고등이 시동 'ON' 했을 때 3~6초 이후에도 계속 켜져 있는 경우, 에어백 시스템에 문제가 있을 수 있으므로 즉시 점검을 받아야 합니다."
어린이 보조 좌석을 설치할 때 로어 앵커 주변에 다른 물체가 있는지 확인해야 하는 이유는 무엇인가요?,어린이 보조 좌석을 설치할 때 로어 앵커 주변에 다른 물체가 있는지 확인해야 하는 이유는 물체가 있는 채로 어린이 보조 좌석을 고정하면 시트 시스템이나 어린이 보조 좌석이 손상될 수 있기 때문입니다.
테더 앵커를 성인용 안전벨트 또는 다른 장치에 연결하는 끈의 용도로 사용하면 안 되는 이유는 무엇인가요?,테더 앵커는 바르게 고정된 어린이 보조 좌석의 하중만을 견딜 수 있도록 설계되었기 때문에 성인용 안전벨트 또는 다른 장치에 연결하는 끈의 용도로 사용하면 안 됩니다.
에어백이 작동할 때 주의해야 할 점은 무엇인가요?,"에어백이 작동할 때, 스티어링 휠과 크래시 패드의 에어백 관련 부품이 매우 뜨거우므로 화상을 입지 않도록 에어백이 작동한 직후 내장 부분을 만지지 말아야 합니다."
어린이 보조 좌석을 설치할 때 주의해야 할 점은 무엇인가요?,"어린이 보조 좌석은 동승석이 아닌 뒷좌석에 설치해야 하며, 동승석에 절대 설치하지 말아야 합니다."
운전석 에어백과 무릎 에어백은 각각 어디에 내장되어 있나요?,"운전석 에어백은 스티어링 휠에 내장되어 있으며, 무릎 에어백은 운전석 하단 언더커버부에 내장되어 있습니다."
에어백이 작동하지 않을 수 있는 상황은 무엇인가요?,"에어백이 작동하지 않을 수 있는 상황은 후면 충격, 충돌 사고에서의 2, 3차 충격, 저속 충격입니다."
에어백이 한 번 작동한 후에 해야 할 일은 무엇인가요?,"에어백이 한 번 작동했다면 반드시 교체해야 합니다. 에어백을 직접 분리하거나 버리려고 하지 말고, 당사 직영 하이테크센터나 블루핸즈에서 점검을 받아야 합니다."
차체 자세 제어 (ESC) 장치 작동 표시등과 작동 정지 표시등은 각각 몇 페이지에 설명되어 있나요?,"차체 자세 제어 (ESC) 장치 작동 표시등은 4-15 페이지에, 작동 정지 표시등은 4-15 페이지에 설명되어 있습니다."
디지털 키를 사용하여 시동을 유지하려면 어떻게 해야 하나요?,디지털 키를 사용하여 시동을 유지하려면 디지털 키를 무선 충전기에 올려놓아야 합니다.
"차량의 주행속도가 110 km/h에 도달했을 때, 최고속도 제한장치가 장착된 차량의 경우 어떤 현상이 발생하나요?",차량의 주행속도가 110 km/h에 도달하면 가속 페달을 밟아도 더 이상 속도가 올라가지 않으므로 무리하게 가속 페달을 밟지 말아야 합니다.
안전벨트 경고등이 켜지는 조건은 무엇인가요?,"안전벨트 경고등은 안전벨트를 착용하지 않은 상태에서 시동을 'ON' 하거나, 시동 'ON' 상태에서 안전벨트를 풀면 켜지고 경고음이 6초 동안 울립니다."
주행 중 엔진 오일 압력 경고등이 켜지면 어떻게 해야 하나요?,주행 중 엔진 오일 압력 경고등이 켜지면 도로 옆으로 차를 안전하게 정차하고 엔진 오일 양을 점검한 후 부족하면 보충하십시오. 보충 후에도 경고등이 꺼지지 않으면 당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오.
LPG 차량에서 LPG 과충전 경고등이 빨간색으로 켜지면 어떻게 해야 하나요?,LPG 차량에서 LPG 과충전 경고등이 빨간색으로 켜지면 당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오.
저압 타이어 경고등/TPMS 경고등이 시동을 'ON' 해도 켜지지 않거나 약 1분간 깜빡인 후 켜지면 무엇을 의미하나요?,저압 타이어 경고등/TPMS 경고등이 시동을 'ON' 해도 켜지지 않거나 약 1분간 깜빡인 후 켜지면 타이어 공기압 감지 시스템에 이상이 있는 것을 의미합니다. 이 경우 당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오.
타이어의 공기압이 현저하게 낮을 경우 어떤 위험이 발생할 수 있나요?,타이어의 공기압이 현저하게 낮으면 차량의 주행이 불안정해지며 제동 거리가 늘어나 매우 위험합니다.
연료 필터 수분 경고등이 켜진 상태에서 차량 성능에 어떤 영향을 미칠 수 있나요?,연료 필터 수분 경고등이 켜진 상태에서는 속도 및 엔진 회전수 제한과 같은 차량 성능 저하가 있을 수 있습니다.
미등 표시등이 켜지는 조건은 무엇인가요?,"미등 표시등은 조명 스위치를 미등 위치에 두었을 때 켜지며, 조명 스위치가 AUTO 위치에 있으면 센서가 감지하는 외부 조건에 따라 켜지거나 꺼집니다."
기어가 'P'(주차) 상태가 아닌 경우 시동 버튼을 눌렀을 때 어떤 경고문이 표시되나요?,'기어가 ‘P’(주차) 아닌 상태에서 시동 버튼을 누르면 이 경고문이 몇 초간 표시됩니다. ‘P’(주차) 상태에서 시동 버튼을 누르십시오.'라는 경고문이 표시됩니다.
선루프가 열린 상태에서 시동을 끄면 어떤 경고문이 표시되나요?,선루프가 열린 상태에서 시동을 끄면 선루프 위치가 이미지로 표시되며 경고문이 함께 나타납니다.
트립 컴퓨터 모드에서 표시되는 정보는 무엇인가요?,"트립 컴퓨터 모드에서는 주행가능거리, 평균연비, 순간연비 등 차량 주행정보를 표시합니다."
차로 이탈방지 보조 기능의 세 가지 설정 옵션은 무엇인가요?,"차로 이탈방지 보조 기능의 세 가지 설정 옵션은 이탈방지 보조, 이탈 경고, 끄기입니다."
파워 테일게이트 열림 높이를 설정할 수 있는 단계는 무엇인가요?,"파워 테일게이트 열림 높이를 설정할 수 있는 단계는 완전 열림, 3단계, 2단계, 1단계, 사용자 높이 설정입니다."
트립 컴퓨터의 주행 정보 모드에서 표시되는 정보는 무엇인가요?,"트립 컴퓨터의 주행 정보 모드에서는 거리, 속도, 시간 등의 주행 관련 정보가 표시됩니다."
차속 감응 자동 도어 잠금 장치의 기능은 무엇인가요?,차속 감응 자동 도어 잠금 장치는 차량의 속도에 따라 자동으로 도어를 잠그는 기능입니다.
디젤 엔진 차량의 연료 주입구를 닫는 방법은 무엇인가요?,디젤 엔진 차량의 연료 주입구를 닫는 방법은 5-71 페이지에 설명되어 있습니다.
도어 잠금 해제 후 30초 이내에 도어를 열지 않으면 어떻게 되나요?,도어 잠금 해제 후 30초 이내에 도어를 열지 않으면 다시 잠깁니다.
리모컨 키를 사용할 때 주의해야 할 사항은 무엇인가요?,"리모컨 키는 완전 방수가 되지 않기 때문에 내부에 습기(음료수, 수분 등)가 유입되거나, 가열 등 부적절한 취급 시 내부 회로 손상으로 오작동의 원인이 되며, 이 경우에는 보증수리를 받을 수 없습니다."
차량 내 설정 메뉴에서 실외 미러 자동 펴짐 기능을 선택하면 어떤 일이 발생하나요?,차량 내 설정 메뉴에서 실외 미러 자동 펴짐 기능을 선택하면 실외 미러도 동시에 펴집니다.
리모컨 키의 건전지를 교체할 때 주의해야 할 점은 무엇인가요?,"리모컨 키의 건전지를 교체할 때는 정전기 등에 약한 내부 회로를 보호하기 위해 자신이 없다면 당사 직영 하이테크센터나 블루핸즈에 점검 및 교체를 의뢰해야 하며, 규격품(CR2032 X 1개)을 사용하고 극성에 주의하여 조립해야 합니다."
스마트 키를 사용하여 도어를 잠그는 방법은 무엇인가요?,스마트 키를 휴대하고 앞좌석 도어의 바깥손잡이에 도어 잠금 센서부(음각 부분)를 약 1초 동안 터치하면 도어가 잠금 상태가 됩니다.
세이프티 언락 기능을 설정하거나 해제하는 방법은 무엇인가요?,세이프티 언락 기능을 설정하거나 해제하려면 계기판 내 사용자 설정 모드에서 도어 → 2회 눌러 전체 잠금 해제 기능을 설정 또는 해제할 수 있습니다.
스마트 키를 사용할 때 주의해야 할 사항은 무엇인가요?,"스마트 키를 사용할 때 주의해야 할 사항은 모든 도어가 닫힌 상태에서만 도어 잠금/잠금 해제를 할 수 있으며, 차량 근처에 스마트 키를 두면 차량 배터리가 방전될 수 있으므로 항상 휴대해야 합니다."
스마트 키의 건전지를 교체하는 방법을 설명하세요.,"스마트 키의 건전지를 교체하는 방법은 먼저 부드러운 천을 홈에 대고 드라이버를 사용하여 스마트 키 커버를 분리한 후, 오래된 건전지를 제거하고 +/-극을 확인하여 새 건전지를 바르게 삽입한 다음, 조립은 분해의 역순으로 하는 것입니다."
현대 디지털 키를 사용하여 차량 도어를 잠그거나 잠금 해제하는 방법은 무엇인가요?,현대 디지털 키를 사용하여 차량 도어를 잠그거나 잠금 해제하려면 등록된 스마트폰의 뒷면에 있는 NFC 안테나를 운전석 또는 동승석 도어 핸들 인증 패드 중앙에 2초 이상 접촉하면 됩니다.
스마트폰을 이용하여 차량의 시동을 거는 방법을 설명하세요.,스마트폰의 NFC 안테나를 실내 인증 패드(무선 충전 패드) 중앙에 올린 후 브레이크 페달을 밟고 시동 버튼을 눌러 시동을 걸 수 있습니다.
디지털 키 근접 제어 사용 시 운전자가 차량에서 떠나기 전에 확인해야 할 사항은 무엇인가요?,"디지털 키 근접 제어 사용 시, 운전자는 필히 차량의 도어 잠김 상태(1회 비상 경고등이 깜빡이고 알림음이 울림)를 확인하고 차량에서 떠나야 합니다."
내비게이션 적용 사양의 차량에서 카드 키를 등록하는 방법은 무엇인가요?,내비게이션 적용 사양의 차량에서 카드 키를 등록하는 방법은 인포테인먼트 전체 메뉴 화면에서 설정 → 차량 → 디지털 키 → NFC카드 키 하위 메뉴로 이동하여 ‘등록’을 누르는 것입니다.
스마트폰 키를 차량에서 삭제하는 절차는 무엇인가요?,스마트폰 키를 차량에서 삭제하는 절차는 차량 내 설정 메뉴에서 인포테인먼트 전체 메뉴 화면에서 설정 → 차량 → 디지털 키 → 스마트폰 키 하위 메뉴로 이동하여 '삭제'를 누르는 것입니다. 내비게이션 미적용 사양의 경우 계기판 메뉴 → 디지털 키 → 스마트폰 키 하위 메뉴로 이동하여 '삭제'를 누릅니다.
디지털 키 차량 개인화 기능에서 시트/미러/스티어링 휠 관련 개인화 설정 항목은 무엇인가요?,"디지털 키 차량 개인화 기능에서 시트/미러/스티어링 휠 관련 개인화 설정 항목은 시트 위치, 실외 미러 위치, 스티어링 휠 위치, 승·하차 편의 기능입니다."
App의 현대 디지털 키 계정 로그인 정보가 만료된 경우 어떻게 해야 하나요?,App의 현대 디지털 키 계정 로그인 정보가 만료된 경우 재 로그인이 필요합니다.
연료 주입구가 열린 상태에서 좌측 슬라이딩 도어가 열리지 않는 이유는 무엇인가요?,연료 주입구가 열린 상태에서 좌측 슬라이딩 도어가 열리지 않는 이유는 주유 중 도어와 연료 주입구의 손상을 줄이기 위해서입니다.
차량이 약 15 km/h 이상으로 주행할 때 자동으로 모든 도어가 잠기는 기능을 무엇이라고 하나요?,차량이 약 15 km/h 이상으로 주행할 때 자동으로 모든 도어가 잠기는 기능을 '차속 감응 자동 도어 잠금 장치'라고 합니다.
파워 슬라이딩 도어가 열리지 않는 조건은 무엇인가요?,파워 슬라이딩 도어가 열리지 않는 조건은 시동 버튼이 'ON'인 상태에서 차량이 약 5 km/h 이상의 속도로 이동하거나 변속 위치가 'P'(주차) 위치에 있지 않을 때입니다.
스마트 파워 슬라이딩 도어가 자동으로 열리기 위해 필요한 조건은 무엇인가요?,"스마트 파워 슬라이딩 도어가 자동으로 열리기 위해서는 모든 도어가 닫혀 있고 잠긴 상태에서 스마트 키를 휴대하고 파워 슬라이딩 도어에 접근해야 하며, 비상 경고등 및 경고음이 작동한 후 약 3초 동안 감지 경보가 작동하고, 열림 준비가 끝나면 도어가 서서히 열립니다."
스마트 파워 슬라이딩 도어가 작동하지 않을 수 있는 상황은 무엇인가요?,"스마트 파워 슬라이딩 도어가 작동하지 않을 수 있는 상황은 경찰서, 관공서, 방송국, 군부대, 송신탑, 공항, 항구 근처에 있을 때, 무전기나 휴대전화와 같은 이동 송수신 시스템과 함께 스마트 키를 지녔을 때, 근처의 다른 차에서 리모컨 키 또는 스마트 키를 작동하고 있을 때, 타이어 교환 또는 차량 점검 시 잭을 사용하여 차량의 한쪽 바퀴를 들어 올렸을 때, 경사진 길이나 블록 등에서 차량을 기울어지게 주차시켰을 때입니다."
원격 시동 상태에서 실내 움직임 감지가 중지되는 이유는 무엇인가요?,원격 시동 상태에서는 실내 움직임 감지가 중지되기 때문입니다.
경보 상태에서 비상 키로 도어를 잠금 해제하고 열었을 때 발생하는 현상은 무엇인가요?,경보 상태에서 비상 키로 도어를 잠금 해제하고 열면 비상 경고등이 깜빡이고 경고음이 울립니다.
스티어링 휠 위치를 조절할 때 주의해야 할 점은 무엇인가요?,"스티어링 휠 위치를 조절할 때 주의해야 할 점은 운전 중에 절대로 조절하지 말아야 하며, 조절 레버를 조작할 때 가끔씩 걸림 현상이 발생할 수 있으나 이는 고장이 아니므로 스티어링 휠의 위치를 재조정한 후 고정해야 합니다."
주행 중에 미러를 조절하거나 접지 말아야 하는 이유는 무엇인가요?,주행 중에 미러를 조절하거나 접지 말아야 하는 이유는 운전에 영향을 미쳐 사고의 원인이 되기 때문입니다.
하이패스 시스템을 사용할 때 카드 삽입 시 주의해야 할 점은 무엇인가요?,"하이패스 카드를 삽입할 때는 카드 삽입구와 가능한 한 평행하게 하여 장착해야 합니다. 카드를 비스듬하게 삽입할 경우에는 카드 소켓이 파손될 수 있으며, 카드 인식 오류로 하이패스 차로를 통과할 때 작동이 안 될 수 있습니다."
하이패스 시스템 등록 정보를 확인하려면 어떤 버튼을 어떻게 눌러야 하나요?,하이패스 시스템 등록 정보를 확인하려면 잔액 확인 버튼과 전원/볼륨 버튼을 동시에 길게 눌러야 합니다.
원터치 자동 유리창이 정상적으로 작동하지 않을 때 초기화하는 방법은 무엇인가요?,"원터치 자동 유리창이 정상적으로 작동하지 않을 때에는 유리창 열림/닫힘 스위치를 한번만 강하게 두번째 걸리는 위치까지 당기거나 누른 후, 스위치에서 손을 떼어 유리창이 완전히 닫히거나 열리게 한 다음, 원하는 높이에서 멈추게 하려면 스위치를 살짝 당기거나 눌러 초기화합니다."
파워 선블라인드가 자동으로 열리고 닫히는 방법을 설명하세요.,"뒷좌석 파워 선블라인드 열림 스위치(B)를 누르면 파워 선블라인드가 자동으로 열리고, 닫힘 스위치(B)를 누르면 파워 선블라인드가 자동으로 닫힙니다."
엔진 후드를 여는 방법을 설명하세요.,"엔진 후드를 여는 방법은 먼저 엔진 후드 열림 레버를 당겨서 후드를 약간 열리게 한 후, 차량 앞에서 후드를 약간 들어 올리고 중앙 안쪽의 2차 열림 레버를 왼쪽으로 밀면서 후드를 위로 들어 올리는 것입니다."
A타입 테일게이트를 열거나 닫을 때 주의해야 할 점은 무엇인가요?,"A타입 테일게이트를 열거나 닫을 때는 차 내부 또는 외부 주위의 안전을 확인한 후에 테일게이트를 열거나 닫아야 하며, 얼굴, 머리 등이 부딪히거나 손, 발 등이 끼이지 않도록 항상 주의해야 합니다."
파워 테일게이트가 작동하는 도중에 물체의 끼임이 감지되면 어떻게 되나요?,파워 테일게이트가 작동하는 도중에 물체의 끼임이 감지되면 자동으로 작동을 멈추거나 완전히 열립니다.
비상시 테일게이트 잠금 해제 방법을 설명하세요.,"비상시 테일게이트 잠금 해제 방법은 열쇠와 같이 길고 납작한 물체를 테일게이트 내부 하단에 있는 열림 장치에 넣고 걸쇠가 움직이도록 화살표 방향으로 밀어 잠금을 해제한 후, 테일게이트를 밀어 여는 것입니다."
스마트 테일게이트 작동이 지연되거나 작동 거리가 변할 수 있는 상황은 무엇인가요?,"스마트 테일게이트 작동이 지연되거나 작동 거리가 변할 수 있는 상황은 경찰서, 관공서, 방송국, 군부대, 송신탑, 공항, 항구 근처 등에 있을 때입니다."
